Professor_Name,Professor_ID,is fully prepared and completed all the topics in thesyllabus in detail,encourages participation and discussion in the class,"uses modern teaching aids/gadgets (animation, video, simulation, others) in the class and shares handouts/references/PPT/web-resources/others",relates the course content with the real-world scenarios (applications) that helped to improve my interest and understanding of the subject,inspires me by his/her competency in teaching- learning knowledge (how to teach a subject) by making the class most interesting,communicate the desired knowledge to me by knowing my expectations by adopting learner centric education,is dedicated for teaching and punctual in the class,"sets an effective question paper in the examination using the standard principles of honesty, dedication, integrity, and seriousness","conducted periodical assessments as per schedule using methods such as quiz, seminars, assignments, classroom presentation, and group discussions",is fair and unbiased in the entire course evaluation process,Would you pick this instructor again?,Final_Grade,DT_prediction,dt_pred,SVM_prediction,True_Label
Dr. Robert Johnson,P005,2,1,1,2,1,2,2,1,2,1,1,4.7,0,0,0,0
Dr. Ryan Carter,P019,5,5,3,3,5,3,4,3,5,5,1,4.25,1,1,1,1
Dr. James Walker,P013,1,5,4,1,5,5,5,5,5,2,1,3.7,1,1,1,0
Prof. Grace Hall,P016,4,4,3,3,4,3,5,3,4,4,1,3.85,1,1,1,1
Dr. Andrew Lopez,P015,1,1,1,2,2,2,1,1,1,2,1,4.35,0,0,0,0
Dr. Jennifer Clark,P008,4,4,3,4,3,5,4,3,3,3,1,3.2,1,1,1,1
Prof. Daniel Martinez,P007,2,1,1,2,1,2,1,1,2,1,1,4.35,0,0,0,0
Prof. Emily Davis,P004,1,1,4,4,3,1,1,1,2,2,1,3.8,1,1,1,1
Prof. Natalian Khabib King,P018,1,2,1,2,1,2,1,1,1,2,1,4.2,0,0,0,0
Prof. Daniel Martinez,P007,3,5,1,4,4,3,1,4,4,4,1,4.1,1,1,1,1
Dr. Henry Young,P017,2,2,5,3,4,3,5,3,1,2,1,3.85,1,1,1,0
Prof. William Lee,P009,2,3,3,2,4,2,5,1,3,2,1,4.25,1,1,1,1
Prof. Emily Davis,P004,2,2,1,2,1,2,2,2,1,2,1,3.7,0,0,0,0
Dr. Alice Smith,P002,2,1,1,2,1,1,1,1,1,1,1,4.1,0,0,0,0
Dr. Ryan Carter,P019,5,3,4,4,4,3,3,4,5,4,1,4.3,1,1,1,1
Prof. John Doe,P001,3,1,2,5,5,4,4,5,2,2,1,4.5,1,1,1,1
Prof. Daniel Martinez,P007,4,3,2,3,5,3,4,5,3,3,1,3.6,1,1,1,0
Dr. Henry Young,P017,5,3,5,5,3,5,3,3,4,3,1,4.55,1,1,1,1
